tournament,year,gold,silver,bronze
Olympics,1936,USA,CAN,MEX
Olympics,1948,USA,FRA,BRA
Olympics,1952,USA,RUS,URU
Olympics,1956,USA,RUS,URU
Olympics,1960,USA,RUS,BRA
Olympics,1964,USA,RUS,BRA
Olympics,1968,USA,YUG,RUS
Olympics,1972,RUS,USA,CUB
Olympics,1976,USA,YUG,RUS
Olympics,1980,YUG,ITA,RUS
Olympics,1984,USA,ESP,YUG
Olympics,1988,RUS,YUG,USA
Olympics,1992,USA,CRO,LTU
Olympics,1996,USA,SCG,LTU
Olympics,2000,USA,FRA,LTU
Olympics,2004,ARG,ITA,USA
Olympics,2008,USA,ESP,ARG
Olympics,2012,USA,ESP,RUS
Olympics,2016,USA,SRB,ESP
Olympics,2020,USA,FRA,AUS
Olympics,2024,USA,FRA,SRB
FIBA World Cup,1950,ARG,USA,CHI
FIBA World Cup,1954,USA,BRA,PHI
FIBA World Cup,1959,BRA,USA,CHI
FIBA World Cup,1963,BRA,YUG,RUS
FIBA World Cup,1967,RUS,YUG,BRA
FIBA World Cup,1970,YUG,BRA,RUS
FIBA World Cup,1974,RUS,YUG,USA
FIBA World Cup,1978,YUG,RUS,BRA
FIBA World Cup,1982,RUS,USA,YUG
FIBA World Cup,1986,USA,RUS,YUG
FIBA World Cup,1990,YUG,RUS,USA
FIBA World Cup,1994,USA,RUS,CRO
FIBA World Cup,1998,SCG,RUS,USA
FIBA World Cup,2002,SCG,ARG,GER
FIBA World Cup,2006,ESP,GRE,USA
FIBA World Cup,2010,USA,TUR,LTU
FIBA World Cup,2014,USA,SRB,FRA
FIBA World Cup,2019,ESP,ARG,FRA
FIBA World Cup,2023,GER,SRB,CAN
EuroBasket,1989,YUG,GRE,RUS
EuroBasket,1991,YUG,ITA,ESP
EuroBasket,1993,GER,RUS,CRO
EuroBasket,1995,SCG,LTU,CRO
EuroBasket,1997,SCG,ITA,RUS
EuroBasket,1999,ITA,ESP,SCG
EuroBasket,2001,SCG,TUR,ESP
EuroBasket,2003,LTU,ESP,ITA
EuroBasket,2005,GRE,GER,FRA
EuroBasket,2007,RUS,ESP,LTU
EuroBasket,2009,ESP,SRB,GRE
EuroBasket,2011,ESP,FRA,RUS
EuroBasket,2013,FRA,LTU,ESP
EuroBasket,2015,ESP,LTU,FRA
EuroBasket,2017,SLO,SRB,ESP
EuroBasket,2022,ESP,FRA,GER
EuroBasket,2025,GER,TUR,GRE
FIBA AmeriCup,2007,USA,ARG,PUR
FIBA AmeriCup,2009,BRA,PUR,ARG
FIBA AmeriCup,2011,ARG,BRA,DOM
FIBA AmeriCup,2013,MEX,PUR,ARG
FIBA AmeriCup,2015,VEN,ARG,CAN
FIBA AmeriCup,2017,USA,ARG,MEX
FIBA AmeriCup,2022,ARG,BRA,USA
FIBA AmeriCup,2025,BRA,ARG,USA
FIBA Asia Cup,2007,IRI,LBN,KOR
FIBA Asia Cup,2009,IRI,CHN,JOR
FIBA Asia Cup,2011,CHN,JOR,KOR
FIBA Asia Cup,2013,IRI,PHI,KOR
FIBA Asia Cup,2015,CHN,PHI,IRI
FIBA Asia Cup,2017,AUS,IRI,KOR
FIBA Asia Cup,2022,AUS,LBN,NZL
FIBA Asia Cup,2025,AUS,CHN,IRI
FIBA AfroBasket,2007,ANG,CMR,CPV
FIBA AfroBasket,2009,ANG,CIV,TUN
FIBA AfroBasket,2011,TUN,ANG,NGR
FIBA AfroBasket,2013,ANG,EGY,SEN
FIBA AfroBasket,2015,NGR,ANG,TUN
FIBA AfroBasket,2017,TUN,NGR,SEN
FIBA AfroBasket,2021,TUN,CIV,SEN
FIBA AfroBasket,2025,ANG,MLI,SEN
